feature,mean_importance
irradiat,-0.0034055556847687684
breast,-0.001481607624040937
menopause,0.006291609987841085
tumor-size,0.008678520287380786
breast-quad,0.01684573854656113
inv-nodes,0.02464102883049637
deg-malig,0.036774238289003634
age,0.0374342517756169
node-caps,0.06846214376539253
