feature,mean_importance
menopause,-0.031249160287172905
node-caps,-0.014061005737470577
age,-0.005865321729494189
tumor-size,-0.0024982145946959022
irradiat,-0.00027749188568280123
inv-nodes,0.0019462955386742031
breast-quad,0.0050538048148155434
breast,0.010213286008523847
deg-malig,0.0333840339080147
