feature,mean_importance
inv-nodes,-0.02824307259979537
tumor-size,-0.02210340846844927
irradiat,-0.017155300691586974
breast-quad,-0.007645392039019172
menopause,-0.00012561296283226665
node-caps,-8.41632153830929e-05
breast,0.0023372954164342817
age,0.01027439379899453
deg-malig,0.01527281419522879
