feature,mean_importance
tumor-size,-0.003370413781042658
irradiat,-0.0007413186921642722
breast,-0.0006931858746823894
node-caps,0.0
breast-quad,0.0006102106150023268
menopause,0.0008675256891019778
inv-nodes,0.004412977280595154
age,0.006821745252040645
deg-malig,0.02694714775787186
