feature,mean_importance
breast-quad,-0.016022109850287937
tumor-size,-0.01564020148335874
irradiat,-0.012630415518747662
inv-nodes,-0.004911781127595827
age,0.0005648452280748062
menopause,0.0035752847886018958
deg-malig,0.020198935885944302
breast,0.027464962910669733
node-caps,0.03914239208783841
