feature,mean_importance
menopause,-0.009013620694755054
age,-0.005481077009626722
breast-quad,-0.0015583653103443784
breast,0.0018156125743933992
irradiat,0.006483052205406658
tumor-size,0.017522262817081514
inv-nodes,0.018087996772147286
node-caps,0.021988111529539965
deg-malig,0.06096609672925195
