feature,mean_importance
age,-0.00928085326345709
tumor-size,-0.0009170687687402035
menopause,-0.0007804899385479458
breast,0.002913202665555037
irradiat,0.009260838460127452
breast-quad,0.01744551282684832
inv-nodes,0.026213350113862655
node-caps,0.027710824391205112
deg-malig,0.04277029541367496
