feature,mean_importance
menopause,-0.015437368824769404
age,-0.010234326306465235
tumor-size,-0.0010033571883048208
breast-quad,-0.00018941978096087553
irradiat,0.0012636523852468605
breast,0.0026122902344607236
node-caps,0.003512392796729924
inv-nodes,0.015440164609284036
deg-malig,0.03450273996658095
