feature,weight
intercept,-1.0998354315543024
age,-0.13267465462553693
menopause,-0.0026157821828893383
tumor-size,0.3299979093024737
inv-nodes,0.5685544904882516
node-caps,0.011952055827013726
deg-malig,0.4105164119163485
breast,-0.1943390810712522
breast-quad,0.14647482135695253
irradiat,0.18018363586456188
