feature,mean_importance
irradiat,-0.03112794443928446
breast-quad,-0.009296229691208469
breast,-0.008278601325210433
node-caps,-0.005871785823890164
age,-0.005697182812461676
menopause,0.0023662688712556613
tumor-size,0.005519508479848234
deg-malig,0.007216829933946056
inv-nodes,0.04047291521180814
