Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,counter
0.0248757107703235,0.0463972680750865,0.0522429175709232,0.0318511482099486,0.0171019238984764,0
-0.0034558807462055,0.0192527918677424,0.0278294363074886,0.0503475776685765,0.0135577728582473,1
-0.0234787228859491,0.0244889170425198,0.0192720836919052,0.0457897146195495,0.0146832207176192,1
0.011299955089829,0.0075731234795943,0.0053888652399773,0.0063982750524375,0.0081473576907374,2
-0.0249501735134396,0.0054056792516503,0.0133480058876419,0.0040675186835174,0.0203160360716987,2
-0.0066861098116841,0.0045046887309616,0.0058804751272538,0.0013078828144589,0.0059172405659357,3
0.002400825788946,0.0023832917697618,0.0,0.0001686107574706,0.0011430726961236,2
0.0019700903407689,-0.0010324453661341,0.0,-0.002329201842628,0.0007841551334906,3
0.000236557150706,-0.0285943913303345,0.0068193156525455,0.0126576636911045,-0.0006526358832761,5
-0.0188838552525209,0.0050890855687829,0.0,-0.0074401836252478,0.00126928602616,3
