feature,weight
intercept,-1.0650049771094656
age,-0.19784847514056952
menopause,-0.11436279861820882
tumor-size,0.3036904409212761
inv-nodes,0.3551019396122986
node-caps,0.17629165057038118
deg-malig,0.25711735891580284
breast,-0.1658183607942366
breast-quad,0.1810462161731551
irradiat,0.11253312935057562
Dist_Cluster_0,0.3764140790459538
Cluster,0.0
random_feature,0.30764455473473123
