feature,mean_importance
menopause,-0.033116731709503244
age,-0.016440339882478994
irradiat,-0.006815604864863822
breast-quad,-0.003198281717942053
Cluster,0.0
node-caps,0.003848002257391836
breast,0.007062333334682669
tumor-size,0.008413217293261166
inv-nodes,0.021429318785759023
random_feature,0.03204176893648871
deg-malig,0.03437329324546068
Dist_Cluster_0,0.040111398125882894
