feature,weight
intercept,-1.0860543198641885
age,-0.15497420122872166
menopause,0.20772212045846836
tumor-size,0.11577100947328642
inv-nodes,0.38133627237356676
node-caps,0.16872028823012472
deg-malig,0.36536516835981553
breast,-0.11427143065803701
breast-quad,0.15732265799803902
irradiat,0.18946839439756807
Dist_Cluster_0,0.32914772402437104
Cluster,0.0
random_feature,-0.4693897556115385
